rrp,4 : 0.00 secs
rrp,5 : 0.05 secs
exploit/b=False,20 : 0.50 secs
exploit/b=True,20 : 0.68 secs
exploit/b=False,30 : 1.23 secs
exploit/b=True,30 : 1.26 secs
exploit/b=False,40 : 1.71 secs
exploit/b=True,40 : 1.77 secs
rrp,4 : 0.00 secs
rrp,5 : 0.09 secs
explore/b=False,20 : 0.73 secs
explore/b=True,20 : 0.74 secs
explore/b=False,30 : 1.21 secs
explore/b=True,30 : 1.19 secs
explore/b=False,40 : 1.57 secs
explore/b=True,40 : 1.54 secs
#
 0,        exploit/b=False,20,  0.00,  0.02, *                   |                   ,  0.00,  0.00,  0.00,  0.02,  0.02
 0,         exploit/b=True,20,  0.00,  0.02, *                   |                   ,  0.00,  0.00,  0.00,  0.02,  0.02
 0,        exploit/b=False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         exploit/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,        exploit/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         exploit/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,        explore/b=False,20,  0.00,  0.02, *                   |                   ,  0.00,  0.00,  0.00,  0.02,  0.02
 0,         explore/b=True,20,  0.00,  0.02, *                   |                   ,  0.00,  0.00,  0.00,  0.02,  0.02
 0,        explore/b=False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.02
 0,         explore/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,        explore/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         explore/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,                     rrp,4,  0.07,  0.03, --*---              |                   ,  0.02,  0.05,  0.07,  0.08,  0.17
#
 2,                     rrp,4,  0.10,  0.08,  -  *---            |                   ,  0.03,  0.05,  0.10,  0.13,  0.20
#
 3,                     rrp,5,  0.12,  0.08,   --*  -            |                   ,  0.07,  0.10,  0.12,  0.18,  0.22
 3,                     rrp,5,  0.13,  0.10,   -  * -            |                   ,  0.05,  0.08,  0.13,  0.18,  0.20
#
 4,                  asIs,192,  0.22,  0.38,   ---   *           |--------           ,  0.07,  0.13,  0.22,  0.52,  0.73
