rrp,4 : 0.03 secs
rrp,13 : 3.86 secs
exploit/b=False,20 : 1.34 secs
exploit/b=True,20 : 4.36 secs
exploit/b=False,30 : 2.14 secs
exploit/b=True,30 : 4.37 secs
exploit/b=False,40 : 2.55 secs
exploit/b=True,40 : 4.35 secs
rrp,4 : 0.02 secs
rrp,14 : 2.49 secs
explore/b=False,20 : 0.84 secs
explore/b=True,20 : 2.66 secs
explore/b=False,30 : 1.44 secs
explore/b=True,30 : 2.96 secs
explore/b=False,40 : 1.80 secs
explore/b=True,40 : 2.75 secs
#
 0,         exploit/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         explore/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         exploit/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         explore/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,        explore/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,        explore/b=False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,        exploit/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,         explore/b=True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,        explore/b=False,20,  0.00,  0.01, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.02
 0,        exploit/b=False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,        exploit/b=False,30,  0.00,  0.01, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.02
 0,         exploit/b=True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
#
 1,                     rrp,4,  0.03,  0.00, -*                  |                   ,  0.02,  0.02,  0.03,  0.03,  0.04
 1,                     rrp,4,  0.03,  0.02,  *                  |                   ,  0.01,  0.02,  0.03,  0.04,  0.04
 1,                 asIs,3456,  0.03,  0.03, -*---------------   |                   ,  0.01,  0.02,  0.03,  0.05,  0.31
 1,                    rrp,13,  0.03,  0.02, -*-                 |                   ,  0.02,  0.03,  0.03,  0.05,  0.06
 1,                    rrp,14,  0.04,  0.01,   *                 |                   ,  0.02,  0.03,  0.04,  0.04,  0.06
