rrp,4 : 0.01 secs
rrp,9 : 0.51 secs
exploit/b=False,20 : 0.77 secs
exploit/b=True,20 : 1.45 secs
exploit/b=False,30 : 1.30 secs
exploit/b=True,30 : 1.91 secs
exploit/b=False,40 : 1.97 secs
exploit/b=True,40 : 2.58 secs
rrp,4 : 0.01 secs
rrp,9 : 0.84 secs
explore/b=False,20 : 0.74 secs
explore/b=True,20 : 1.19 secs
explore/b=False,30 : 1.18 secs
explore/b=True,30 : 1.57 secs
explore/b=False,40 : 1.59 secs
explore/b=True,40 : 1.95 secs
#
 0,         exploit/b=True,40,  0.01,  0.26, *         --        |                   ,  0.00,  0.00,  0.01,  0.26,  0.31
 0,         explore/b=True,40,  0.01,  0.02, *---------          |                   ,  0.00,  0.01,  0.01,  0.02,  0.27
 0,        exploit/b=False,30,  0.03,  0.29,  *         -        |                   ,  0.00,  0.00,  0.03,  0.29,  0.32
 0,        exploit/b=False,40,  0.03,  0.28,  *         --       |                   ,  0.00,  0.00,  0.03,  0.28,  0.33
#
 1,         exploit/b=True,20,  0.05,  0.25,  *        --        |                   ,  0.00,  0.02,  0.05,  0.27,  0.32
 1,         explore/b=True,30,  0.07,  0.23,   *       --        |                   ,  0.01,  0.02,  0.07,  0.26,  0.31
 1,        explore/b=False,40,  0.07,  0.27,   *        --       |                   ,  0.00,  0.01,  0.07,  0.28,  0.33
 1,         explore/b=True,20,  0.08,  0.30,    *        -       |                   ,  0.01,  0.01,  0.08,  0.31,  0.33
 1,         exploit/b=True,30,  0.09,  0.28,    *       -        |                   ,  0.00,  0.01,  0.09,  0.28,  0.32
#
 2,        exploit/b=False,20,  0.17,  0.31,       *     -       |                   ,  0.00,  0.00,  0.17,  0.31,  0.34
#
 3,        explore/b=False,30,  0.28,  0.15, ------     * -      |                   ,  0.01,  0.17,  0.28,  0.33,  0.36
#
 4,        explore/b=False,20,  0.32,  0.04,        -----*-      |                   ,  0.20,  0.30,  0.32,  0.35,  0.37
#
 5,                     rrp,4,  0.35,  0.04,    ----------* --   |                   ,  0.09,  0.34,  0.35,  0.38,  0.43
#
 6,                     rrp,9,  0.38,  0.09,             -- * ---|-                  ,  0.32,  0.35,  0.38,  0.45,  0.56
 6,                     rrp,4,  0.39,  0.09,       -------  *    |                   ,  0.17,  0.35,  0.39,  0.44,  0.45
 6,                     rrp,9,  0.40,  0.07,           ---- * ---|-                  ,  0.27,  0.36,  0.40,  0.43,  0.56
#
 7,                 asIs,1080,  0.43,  0.09,             ---  * -|-----              ,  0.30,  0.39,  0.43,  0.48,  0.66
