rrp,4 : 0.01 secs
rrp,11 : 0.59 secs
exploit/b=False,20 : 1.22 secs
exploit/b=True,20 : 1.45 secs
exploit/b=False,30 : 2.08 secs
exploit/b=True,30 : 2.25 secs
exploit/b=False,40 : 3.02 secs
exploit/b=True,40 : 2.84 secs
rrp,4 : 0.01 secs
rrp,12 : 0.69 secs
explore/b=False,20 : 1.01 secs
explore/b=True,20 : 1.16 secs
explore/b=False,30 : 1.65 secs
explore/b=True,30 : 1.73 secs
explore/b=False,40 : 2.14 secs
explore/b=True,40 : 2.22 secs
#
 0,        exploit/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,        explore/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,         explore/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,        exploit/b=False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,        exploit/b=False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,         exploit/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,         exploit/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,         explore/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,         exploit/b=True,20,  0.01,  0.00, *-----              |                   ,  0.00,  0.00,  0.01,  0.01,  0.15
 0,        explore/b=False,30,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.01
 0,         explore/b=True,20,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.01
 0,        explore/b=False,20,  0.01,  0.00, *-----              |                   ,  0.00,  0.00,  0.01,  0.01,  0.15
#
 1,                    rrp,11,  0.03,  0.14, *     -             |                   ,  0.01,  0.02,  0.03,  0.16,  0.18
 1,                    rrp,12,  0.08,  0.14,    *  -             |                   ,  0.01,  0.02,  0.08,  0.16,  0.18
 1,                     rrp,4,  0.15,  0.14,       *             |                   ,  0.01,  0.02,  0.15,  0.16,  0.17
 1,                     rrp,4,  0.15,  0.13, -     *             |                   ,  0.01,  0.04,  0.15,  0.16,  0.18
#
 2,                  asIs,864,  0.18,  0.27, ------ *         ---|------------------ ,  0.02,  0.16,  0.18,  0.43,  0.98
