rrp,4 : 0.03 secs
rrp,14 : 3.27 secs
exploit/b=False,20 : 1.29 secs
exploit/b=True,20 : 3.64 secs
exploit/b=False,30 : 2.17 secs
exploit/b=True,30 : 3.91 secs
exploit/b=False,40 : 2.50 secs
exploit/b=True,40 : 4.12 secs
rrp,4 : 0.02 secs
rrp,13 : 2.29 secs
explore/b=False,20 : 0.86 secs
explore/b=True,20 : 2.29 secs
explore/b=False,30 : 1.36 secs
explore/b=True,30 : 2.86 secs
explore/b=False,40 : 1.82 secs
explore/b=True,40 : 3.06 secs
#
 0,         exploit/b=True,30,  0.19,  0.05, -- *-----           |                   ,  0.15,  0.18,  0.19,  0.23,  0.31
 0,         exploit/b=True,40,  0.19,  0.03, -- *-               |                   ,  0.14,  0.18,  0.19,  0.21,  0.23
 0,         explore/b=True,40,  0.20,  0.03,  - *-               |                   ,  0.16,  0.19,  0.20,  0.22,  0.24
#
 1,        explore/b=False,40,  0.21,  0.02,   - *----           |                   ,  0.19,  0.20,  0.21,  0.22,  0.32
 1,         explore/b=True,30,  0.22,  0.03,   - *               |                   ,  0.18,  0.20,  0.22,  0.23,  0.24
 1,         explore/b=True,20,  0.22,  0.04,   - * ---           |                   ,  0.19,  0.21,  0.22,  0.25,  0.32
 1,        exploit/b=False,40,  0.22,  0.02, ----*----           |                   ,  0.14,  0.22,  0.22,  0.23,  0.31
 1,        explore/b=False,30,  0.22,  0.02,   - *----           |                   ,  0.19,  0.21,  0.22,  0.23,  0.32
 1,         exploit/b=True,20,  0.23,  0.04,   - *----           |                   ,  0.18,  0.20,  0.23,  0.24,  0.32
 1,        explore/b=False,20,  0.23,  0.03,   - *----           |                   ,  0.19,  0.21,  0.23,  0.24,  0.32
 1,        exploit/b=False,30,  0.23,  0.10,    - *   ---------- |                   ,  0.20,  0.22,  0.23,  0.32,  0.51
#
 2,        exploit/b=False,20,  0.25,  0.08,    -  *  --         |                   ,  0.20,  0.23,  0.25,  0.32,  0.36
#
 3,                     rrp,4,  0.36,  0.10,      ----  *  ------|---------------    ,  0.23,  0.31,  0.36,  0.41,  0.83
 3,                     rrp,4,  0.37,  0.24,      --     *       |--------           ,  0.23,  0.28,  0.37,  0.52,  0.69
#
 4,                    rrp,13,  0.41,  0.15,          --   *    -|-------            ,  0.31,  0.36,  0.41,  0.51,  0.69
 4,                    rrp,14,  0.41,  0.35,       -----   *     |        -----      ,  0.25,  0.35,  0.41,  0.69,  0.79
 4,                 asIs,3008,  0.41,  0.31,               *     |       -           ,  0.36,  0.36,  0.41,  0.67,  0.70
