rrp,4 : 0.11 secs
rrp,17 : 28.61 secs
exploit/b=False,20 : 2.65 secs
exploit/b=True,20 : 15.29 secs
exploit/b=False,30 : 3.60 secs
exploit/b=True,30 : 15.34 secs
exploit/b=False,40 : 4.93 secs
exploit/b=True,40 : 13.26 secs
rrp,4 : 0.03 secs
rrp,18 : 8.03 secs
explore/b=False,20 : 1.18 secs
explore/b=True,20 : 7.62 secs
explore/b=False,30 : 1.97 secs
explore/b=True,30 : 7.61 secs
explore/b=False,40 : 2.54 secs
explore/b=True,40 : 7.52 secs
#
 0,         exploit/b=True,40,  0.37,  0.07, --*   ---           |                   ,  0.33,  0.37,  0.37,  0.43,  0.50
 0,        exploit/b=False,40,  0.41,  0.14,     *   ---         |                   ,  0.33,  0.33,  0.41,  0.48,  0.52
 0,        explore/b=False,40,  0.41,  0.04, --- * ---           |                   ,  0.35,  0.39,  0.41,  0.43,  0.50
 0,         explore/b=True,40,  0.41,  0.04, --- * ---           |                   ,  0.33,  0.39,  0.41,  0.43,  0.50
#
 1,        exploit/b=False,30,  0.43,  0.09, ----  *  ---        |                   ,  0.35,  0.41,  0.43,  0.50,  0.54
#
 2,        exploit/b=False,20,  0.50,  0.11,   -      *--        |                   ,  0.37,  0.39,  0.50,  0.50,  0.54
 2,         exploit/b=True,20,  0.50,  0.02,     -----* --       |                   ,  0.41,  0.50,  0.50,  0.52,  0.57
 2,         exploit/b=True,30,  0.50,  0.07,    ---   *          |                   ,  0.39,  0.43,  0.50,  0.50,  0.50
 2,        explore/b=False,20,  0.50,  0.02, -------- *-----     |                   ,  0.35,  0.48,  0.50,  0.50,  0.59
 2,        explore/b=False,30,  0.50,  0.09, ----     *--        |                   ,  0.33,  0.41,  0.50,  0.50,  0.54
 2,         explore/b=True,30,  0.50,  0.07, ------   *--        |                   ,  0.35,  0.43,  0.50,  0.50,  0.54
#
 3,                     rrp,4,  0.52,  0.17,            *        |                   ,  0.50,  0.50,  0.52,  0.67,  0.67
 3,         explore/b=True,20,  0.52,  0.17,         -  *        |----               ,  0.48,  0.50,  0.52,  0.67,  0.75
 3,                    rrp,17,  0.57,  0.13,              *   ---|--                 ,  0.50,  0.50,  0.57,  0.63,  0.72
 3,                     rrp,4,  0.59,  0.17,                *    |-------------      ,  0.50,  0.50,  0.59,  0.67,  0.91
#
 4,                    rrp,18,  0.65,  0.10,          ----      *|                   ,  0.50,  0.57,  0.65,  0.67,  0.67
#
 5,                asIs,10000,  0.72,  0.09,              -------|  * -----          ,  0.57,  0.67,  0.72,  0.76,  0.85
