rrp,4 : 0.13 secs
rrp,16 : 7.90 secs
exploit/b=False,20 : 0.97 secs
exploit/b=True,20 : 6.78 secs
exploit/b=False,30 : 1.27 secs
exploit/b=True,30 : 6.36 secs
exploit/b=False,40 : 1.47 secs
exploit/b=True,40 : 5.56 secs
rrp,4 : 0.07 secs
rrp,14 : 4.12 secs
explore/b=False,20 : 0.46 secs
explore/b=True,20 : 3.39 secs
explore/b=False,30 : 0.69 secs
explore/b=True,30 : 3.12 secs
explore/b=False,40 : 0.86 secs
explore/b=True,40 : 3.20 secs
#
 0,                     rrp,4,  0.00,  0.00, *-------------------|------------------ ,  0.00,  0.00,  0.00,  0.00,  1.00
 0,        exploit/b=False,20,  0.00,  0.00, *-------------------|------------------ ,  0.00,  0.00,  0.00,  0.00,  1.00
 0,         exploit/b=True,20,  0.00,  0.00, *-------------------|------------------ ,  0.00,  0.00,  0.00,  0.00,  1.00
 0,        exploit/b=False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         exploit/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,        exploit/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         exploit/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                     rrp,4,  0.00,  1.00, *                   |                   ,  0.00,  0.00,  0.00,  1.00,  1.00
 0,        explore/b=False,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         explore/b=True,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,        explore/b=False,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         explore/b=True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,        explore/b=False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         explore/b=True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,                asIs,10000,  1.00,  0.00, --------------------|------------------*,  0.00,  1.00,  1.00,  1.00,  1.00
 1,                    rrp,16,  1.00,  1.00,                     |                  *,  0.00,  0.00,  1.00,  1.00,  1.00
 1,                    rrp,14,  1.00,  0.00, --------------------|------------------*,  0.00,  1.00,  1.00,  1.00,  1.00
