rrp,4 : 0.00 secs
rrp,10 : 1.57 secs
exploit/b=False,20 : 0.95 secs
exploit/b=True,20 : 2.91 secs
exploit/b=False,30 : 1.54 secs
exploit/b=True,30 : 3.33 secs
exploit/b=False,40 : 2.06 secs
exploit/b=True,40 : 3.38 secs
rrp,4 : 0.03 secs
rrp,10 : 1.72 secs
explore/b=False,20 : 0.72 secs
explore/b=True,20 : 2.00 secs
explore/b=False,30 : 1.07 secs
explore/b=True,30 : 2.32 secs
explore/b=False,40 : 1.46 secs
explore/b=True,40 : 2.50 secs
#
 0,         exploit/b=True,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.01,  0.02
 0,         exploit/b=True,40,  0.01,  0.00, -*                  |                   ,  0.01,  0.01,  0.01,  0.01,  0.02
 0,        exploit/b=False,40,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.01,  0.01
 0,         explore/b=True,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.02,  0.02
 0,         explore/b=True,40,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.02,  0.02
 0,        exploit/b=False,30,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.02,  0.02
 0,        exploit/b=False,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.02,  0.02
 0,         explore/b=True,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01,  0.01,  0.02,  0.02
 0,         exploit/b=True,20,  0.02,  0.00, -*                  |                   ,  0.01,  0.01,  0.02,  0.02,  0.02
 0,        explore/b=False,30,  0.02,  0.00,  *---               |                   ,  0.02,  0.02,  0.02,  0.02,  0.05
 0,                     rrp,4,  0.02,  0.03,   *  --             |                   ,  0.02,  0.02,  0.02,  0.05,  0.07
 0,                    rrp,10,  0.02,  0.03,   * ----------------|-----------        ,  0.02,  0.02,  0.02,  0.05,  0.30
 0,        explore/b=False,20,  0.02,  0.02,   *--               |                   ,  0.01,  0.02,  0.02,  0.03,  0.05
 0,        explore/b=False,40,  0.02,  0.01,   *--               |                   ,  0.02,  0.02,  0.02,  0.03,  0.05
 0,                    rrp,10,  0.02,  0.05,  -*    -------------|-----------        ,  0.02,  0.02,  0.02,  0.07,  0.30
 0,                     rrp,4,  0.03,  0.03,  - *------          |                   ,  0.01,  0.02,  0.03,  0.05,  0.10
#
 1,                 asIs,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.02,  0.04,  0.06,  0.18,  0.28
